ticker,expiration,call_oi_change_sum,put_oi_change_sum,call_volume_sum,put_volume_sum,total_volume,total_premium_notional,cp_oi_bias,cp_vol_bias,cp_notional_bias,bias_label,call_put_strength_ratio,main_zone,expiration_score
NVDA,2026-04-10,0.0,0.0,21630.0,5252.0,26882.0,7132720.0,0.0,0.609,0.406,Call 偏强,1.0,180C / 185C / 190C,52.18
NVDA,2026-04-24,0.0,0.0,8399.0,2741.0,11140.0,4044330.0,0.0,0.508,0.381,Call 偏强,1.0,190C / 180C / 185C,50.12
NVDA,2026-03-20,0.0,0.0,359197.0,264456.0,623653.0,166257922.0,0.0,0.152,-0.373,Put 偏强,1.0,177.5P / 182.5P / 180P,48.7
NVDA,2026-03-23,0.0,0.0,43359.0,34702.0,78061.0,15937808.0,0.0,0.111,0.245,Call 偏强,1.0,185C / 180C / 182.5C,48.34
NVDA,2026-04-02,0.0,0.0,23597.0,19032.0,42629.0,9228738.0,0.0,0.107,0.235,Call 偏强,1.0,190C / 180C / 185C,47.46
NVDA,2026-03-25,0.0,0.0,16912.0,10564.0,27476.0,4226988.0,0.0,0.231,-0.015,均衡,1.0,180P / 182.5P / 175P,47.0
NVDA,2026-03-27,0.0,0.0,77765.0,84173.0,161938.0,29569717.0,0.0,-0.04,-0.138,均衡,1.0,180P / 182.5P / 175P,46.69
NVDA,2026-04-17,0.0,0.0,72024.0,48991.0,121015.0,44974188.0,0.0,0.19,0.074,均衡,1.0,185C / 180C / 190C,45.51
NVDA,2026-05-01,0.0,0.0,3386.0,1710.0,5096.0,2074142.0,0.0,0.329,0.094,Call 偏强,1.0,185C / 190C / 200C,40.37
TSLA,2026-03-25,0.0,0.0,4563.0,3588.0,8151.0,4845080.0,0.0,0.12,-0.77,Put 偏强,1.0,400P,53.66
TSLA,2026-03-20,0.0,0.0,394713.0,375421.0,770134.0,1185474828.0,0.0,0.025,-0.665,Put 偏强,1.0,395P / 400P / 390P,50.6
TSLA,2026-03-23,0.0,0.0,26428.0,20139.0,46567.0,20898282.0,0.0,0.135,-0.382,Put 偏强,1.0,400P / 395P / 397.5P,49.91
TSLA,2026-04-17,0.0,0.0,26914.0,38299.0,65213.0,215359094.0,0.0,-0.175,-0.477,Put 偏强,1.0,385P / 375P / 370P,49.41
TSLA,2026-03-27,0.0,0.0,52765.0,35825.0,88590.0,59956989.0,0.0,0.191,-0.171,均衡,1.0,400P / 395P / 390P,48.24
TSLA,2026-04-02,0.0,0.0,7029.0,5298.0,12327.0,8285780.0,0.0,0.14,-0.18,均衡,1.0,400C / 395C / 390C,47.17
TSLA,2026-04-10,0.0,0.0,7278.0,3467.0,10745.0,8875842.0,0.0,0.355,0.069,Call 偏强,1.0,400C / 395C / 410C,46.78
TSLA,2026-04-24,0.0,0.0,1174.0,861.0,2035.0,1583563.0,0.0,0.154,0.23,Call 偏强,1.0,400C / 450C / 440C,34.6
