代码,名称,方向,综合分,置信度,期权异动数,Call事件数,Put事件数,Call成交额M,Put成交额M,C/P成交额比,C/P成交量比,期权方向分,个股额比20日,个股当日涨跌%,相对SPY20日%,变盘压缩分,行业,子行业,生物医药,财报日,财报剩余天,催化剂分,催化贡献分,催化标签,催化新闻数,催化摘要,理由,行业共振分,行业共振,机会评分,筛选模式
TGTX,TGTX,强多,24.15,95.8,8,6,2,0.9,0.26,3.49,10.98,40.0,2.46,9.52,10.2,0.0,Healthcare,Biotechnology,是,2026-05-04,47,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Healthcare多头共振6,24.85,二级放宽(允许无催化)
VSAT,VSAT,偏多,22.45,83.7,5,3,2,24.59,0.01,3537.83,254.08,40.0,1.74,5.58,10.33,8.72,Technology,Communication Equipment,否,2026-05-19,62,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Technology多头共振9,21.74,二级放宽(允许无催化)
ELAN,ELAN,偏多,22.14,86.2,7,5,2,0.14,0.01,12.81,7.16,40.0,2.88,7.61,3.05,0.0,Healthcare,Drug Manufacturers - Specialty & Generic,是,2026-05-07,50,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Healthcare多头共振6,21.72,二级放宽(允许无催化)
SAIC,SAIC,偏多,22.34,80.4,6,5,1,0.0,0.0,29.67,3.5,40.0,1.5,1.64,12.8,3.07,Technology,Information Technology Services,否,2026-04-10,23,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Technology多头共振9,21.27,二级放宽(允许无催化)
MUR,MUR,偏多,21.08,87.5,7,6,1,0.15,0.02,9.39,2.14,40.0,1.81,2.65,16.95,2.49,Energy,Oil & Gas E&P,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,4.0,Energy多头共振3,20.82,二级放宽(允许无催化)
VAL,VAL,偏多,20.52,83.7,8,4,4,0.66,0.05,13.87,1.23,40.0,1.7,6.27,11.12,1.11,Energy,Oil & Gas Equipment & Services,否,2026-04-29,42,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,4.0,Energy多头共振3,19.87,二级放宽(允许无催化)
DOCU,DOCU,偏多,20.84,74.5,8,5,3,0.66,0.19,3.54,1.86,40.0,1.55,1.54,6.92,5.2,Technology,Software - Application,否,未知,NA,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Technology多头共振9,19.22,二级放宽(允许无催化)
SNDK,SNDK,偏多,21.14,69.0,8,8,0,34.23,0.0,34225590.0,2323.0,40.0,0.87,2.35,23.71,20.0,Technology,Computer Hardware,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振9,18.92,二级放宽(允许无催化)
PLTR,PLTR,偏多,21.14,69.0,8,5,3,6.14,1.91,3.22,2.26,40.0,0.75,1.55,18.35,9.89,Technology,Software - Infrastructure,否,2026-05-04,47,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振9,18.92,二级放宽(允许无催化)
TWLO,TWLO,偏多,20.91,68.7,8,5,3,0.33,0.07,4.88,1.57,40.0,0.43,0.44,18.72,19.94,Technology,Software - Infrastructure,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振9,18.68,二级放宽(允许无催化)
PATH,PATH,偏多,20.87,67.9,8,8,0,0.7,0.0,702008.0,23043.0,40.0,0.76,3.54,11.27,8.53,Technology,Software - Infrastructure,否,2026-05-28,71,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振9,18.56,二级放宽(允许无催化)
DVN,DVN,偏多,18.96,70.2,8,8,0,0.85,0.0,845648.0,5180.0,40.0,1.2,1.65,9.44,7.23,Energy,Oil & Gas E&P,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,4.0,Energy多头共振3,17.08,二级放宽(允许无催化)
CLSK,CLSK,偏多,18.24,66.6,8,7,1,0.75,0.02,36.38,52.76,40.0,0.89,0.9,10.71,14.74,Financial Services,Capital Markets,否,2026-05-07,50,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,4.0,Financial Services多头共振3,16.11,二级放宽(允许无催化)
SLAB,SLAB,偏多,18.89,56.4,8,5,3,0.21,0.01,27.23,1.24,40.0,0.56,0.82,2.09,20.0,Technology,Semiconductors,否,2026-05-12,55,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,6.0,Technology多头共振9,15.72,二级放宽(允许无催化)
ALNY,ALNY,偏多,17.14,66.3,5,4,1,0.17,0.03,5.9,52.4,40.0,1.61,0.47,-1.9,20.0,Healthcare,Biotechnology,是,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大,6.0,Healthcare多头共振6,15.11,二级放宽(允许无催化)
IRDM,IRDM,偏多,15.93,69.5,3,3,0,0.42,0.0,416654.0,990.0,40.0,1.33,5.0,13.28,5.47,Communication Services,Telecom Services,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,0.0,无,14.3,二级放宽(允许无催化)
PEN,PEN,偏多,16.72,52.5,6,4,2,0.26,0.02,14.71,1.06,40.0,0.41,0.53,0.88,20.0,Healthcare,Medical Devices,是,2026-04-22,35,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,6.0,Healthcare多头共振6,13.58,二级放宽(允许无催化)
SO,SO,偏多,15.38,63.4,8,6,2,0.21,0.07,3.16,1.14,39.5,0.54,-0.85,8.58,10.46,Utilities,Utilities - Regulated Electric,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,2.0,Utilities多头共振2,13.33,二级放宽(允许无催化)
NSA,NSA,偏多,13.0,89.0,4,3,1,0.01,0.0,10.33,1.16,40.0,3.53,-1.09,18.56,0.0,Real Estate,REIT - Industrial,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,2.0,Real Estate多头共振2,12.94,二级放宽(允许无催化)
VTR,VTR,偏多,15.1,57.6,8,6,2,0.46,0.02,30.44,1.61,40.0,0.88,0.24,3.04,9.61,Real Estate,REIT - Healthcare Facilities,是,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,2.0,Real Estate多头共振2,12.65,二级放宽(允许无催化)
ACLS,ACLS,偏多,14.54,60.8,5,5,0,0.01,0.0,14720.0,39.0,40.0,0.56,0.71,-11.79,18.23,Technology,Semiconductor Equipment & Materials,否,2026-05-05,48,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走弱,6.0,Technology多头共振9,12.42,二级放宽(允许无催化)
INCY,INCY,偏多,15.27,49.6,3,2,1,0.04,0.0,8.85,7.0,40.0,1.08,1.31,-5.09,17.35,Healthcare,Biotechnology,是,2026-04-28,41,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走弱,6.0,Healthcare多头共振6,12.19,二级放宽(允许无催化)
TPH,TPH,偏多,14.23,55.4,5,3,2,0.09,0.0,444.73,3.76,40.0,0.49,0.09,1.96,20.0,Consumer Cyclical,Residential Construction,否,2026-04-23,36,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,2.0,Consumer Cyclical多头共振2,11.77,二级放宽(允许无催化)
KTOS,KTOS,偏多,13.23,60.1,8,6,2,0.57,0.18,3.21,3.21,40.0,0.65,6.46,5.4,18.26,Industrials,Aerospace & Defense,否,2026-05-07,50,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,0.0,无,11.25,二级放宽(允许无催化)
CWEN,CWEN,偏多,14.36,46.7,3,3,0,0.01,0.0,14596.0,44.0,40.0,0.53,1.19,0.09,13.5,Utilities,Utilities - Renewable,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,2.0,Utilities多头共振2,11.25,二级放宽(允许无催化)
CYTK,CYTK,偏多,14.41,45.9,8,4,4,1.18,1.1,1.08,0.81,-0.34,1.61,2.14,-4.97,5.39,Healthcare,Biotechnology,是,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call/Put成交额相对均衡；个股成交额温和放大；近20日相对SPY明显走弱,6.0,Healthcare多头共振6,11.23,二级放宽(允许无催化)
JHG,JHG,偏多,12.63,65.8,2,1,1,0.01,0.0,3.15,0.66,26.3,2.39,1.92,5.67,0.0,Financial Services,Asset Management,否,未知,NA,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,4.0,Financial Services多头共振3,11.1,二级放宽(允许无催化)
FNB,FNB,偏多,12.99,57.2,2,2,0,0.11,0.0,112411.0,167.0,40.0,1.6,0.5,-9.62,0.0,Financial Services,Banks - Regional,否,2026-04-15,28,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走弱,4.0,Financial Services多头共振3,10.86,二级放宽(允许无催化)
SEE,SEE,偏多,11.87,52.1,6,4,2,0.01,0.0,33.67,1.04,40.0,0.74,-0.07,1.43,17.37,Consumer Cyclical,Packaging & Containers,否,2026-03-27,9,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,2.0,Consumer Cyclical多头共振2,9.62,二级放宽(允许无催化)
LRN,LRN,偏多,8.46,66.9,4,3,1,0.02,0.02,1.26,3.41,26.64,1.61,4.95,5.71,4.5,Consumer Defensive,Education & Training Services,否,2026-04-28,41,0.0,0.0,无,0,近期未检测到明确公开催化,Call/Put成交额相对均衡；个股成交额温和放大；近20日相对SPY明显走强,0.0,无,7.48,二级放宽(允许无催化)
