代码,名称,方向,综合分,置信度,期权异动数,Call事件数,Put事件数,Call成交额M,Put成交额M,C/P成交额比,C/P成交量比,期权方向分,个股额比20日,个股当日涨跌%,相对SPY20日%,变盘压缩分,行业,子行业,生物医药,财报日,财报剩余天,催化剂分,催化贡献分,催化标签,催化新闻数,催化摘要,理由,行业共振分,行业共振,机会评分
QCOM,高通,偏空,-19.73,61.2,8,2,6,0.89,54.07,0.02,0.09,-40.0,1.0,1.7,-5.97,0.0,Technology,Semiconductors,否,2026-03-26,8,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态；近20日相对SPY明显走弱,-6.0,Technology空头共振4,16.89
MSFT,微软,偏空,-16.51,53.8,8,0,8,0.0,428.91,0.0,0.0,-40.0,0.73,-0.14,2.41,8.98,Technology,Software - Infrastructure,否,2026-05-21,64,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态,-6.0,Technology空头共振4,13.52
ORCL,甲骨文,偏空,-16.52,53.6,8,4,4,4.48,33.45,0.13,0.6,-40.0,0.73,-0.82,2.23,0.0,Technology,Software - Infrastructure,否,2026-04-09,22,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态,-6.0,Technology空头共振4,13.51
TSM,台积电,偏空,-15.8,53.8,8,3,5,2.96,6.57,0.45,0.45,-35.53,0.81,1.69,-3.24,0.0,Technology,Semiconductors,否,2026-06-11,85,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态；近20日相对SPY明显走弱,-6.0,Technology空头共振4,12.94
AMZN,AMZN,偏多,14.33,64.7,8,7,1,15.17,1.43,10.64,10.75,40.0,0.88,1.63,8.75,1.14,Consumer Cyclical,Internet Retail,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,0.0,无,12.52
META,Meta,偏空,-12.59,54.7,8,2,6,2.73,21.07,0.13,0.35,-40.0,0.81,-0.76,-0.84,0.0,Communication Services,Internet Content & Information,否,2026-03-26,8,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态,-0.0,无,10.37
SPY,SPY,偏空,-11.91,53.1,8,1,7,16.42,75.47,0.22,0.06,-40.0,0.75,0.26,0.0,0.0,未知,未知,否,未知,NA,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态,-0.0,无,9.71
NVDA,英伟达,偏多,11.89,50.8,8,8,0,56.67,0.0,56665457.0,159843.0,40.0,0.9,-0.7,0.12,0.0,Technology,Semiconductors,否,2026-04-01,14,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,2.0,Technology多头共振2,9.56
AMD,AMD,偏多,11.64,51.9,8,6,2,11.68,2.52,4.63,0.93,40.0,0.6,-0.14,-1.57,7.23,Technology,Semiconductors,否,2026-05-05,48,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,2.0,Technology多头共振2,9.42
GOOGL,GOOGL,偏多,8.38,33.5,8,5,3,11.91,24.6,0.48,2.67,-6.15,0.7,1.75,4.71,8.03,Communication Services,Internet Content & Information,否,2026-04-23,36,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,0.0,无,6.01
