代码,名称,方向,综合分,置信度,期权异动数,Call事件数,Put事件数,Call成交额M,Put成交额M,C/P成交额比,C/P成交量比,期权方向分,个股额比20日,个股当日涨跌%,相对SPY20日%,变盘压缩分,行业,子行业,生物医药,财报日,财报剩余天,催化剂分,催化贡献分,催化标签,催化新闻数,催化摘要,理由,行业共振分,行业共振,机会评分,筛选模式
DOCU,DOCU,偏多,22.49,98.3,8,5,3,0.51,0.12,4.24,5.63,40.0,2.52,2.86,12.73,0.91,Technology,Software - Application,否,2026-06-04,78,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Technology多头共振8,23.42,二级放宽(允许无催化)
DOCN,DOCN,偏多,22.2,97.9,8,6,2,8.04,0.97,8.28,1.0,40.0,2.38,6.3,23.4,0.71,Technology,Software - Infrastructure,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Technology多头共振8,23.08,二级放宽(允许无催化)
CVI,CVI,偏多,21.75,89.2,3,3,0,1.02,0.0,1021100.0,3506.0,40.0,2.19,10.36,50.8,0.0,Energy,Oil & Gas Refining & Marketing,否,2026-04-27,40,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Energy多头共振5,21.66,二级放宽(允许无催化)
PTGX,PTGX,偏多,20.49,98.3,4,3,1,0.05,0.0,54.3,13.64,40.0,3.0,-0.14,20.61,0.0,Healthcare,Biotechnology,是,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,4.0,Healthcare多头共振3,21.34,二级放宽(允许无催化)
DVN,DVN,偏多,20.03,80.7,8,7,1,0.65,0.03,21.35,27.94,40.0,1.52,1.56,11.99,11.69,Energy,Oil & Gas E&P,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Energy多头共振5,19.1,二级放宽(允许无催化)
MUR,MUR,偏多,19.42,74.0,7,5,2,0.18,0.0,105.01,4.69,40.0,1.22,3.75,18.59,9.89,Energy,Oil & Gas E&P,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Energy多头共振5,17.87,二级放宽(允许无催化)
PR,PR,偏多,18.89,69.0,4,4,0,0.1,0.0,104012.0,336.0,40.0,0.79,0.56,14.66,8.09,Energy,Oil & Gas E&P,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Energy多头共振5,16.91,二级放宽(允许无催化)
EOG,EOG,偏多,18.89,69.0,8,6,2,1.84,0.05,37.87,1.36,40.0,0.84,1.33,16.09,7.74,Energy,Oil & Gas E&P,否,2026-04-16,29,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Energy多头共振5,16.91,二级放宽(允许无催化)
PLTR,PLTR,偏多,18.11,68.0,8,5,3,30.47,5.17,5.9,2.56,40.0,0.66,-1.49,16.47,9.24,Technology,Software - Infrastructure,否,2026-05-04,47,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振8,16.12,二级放宽(允许无催化)
BTSG,BTSG,偏多,17.49,72.6,3,2,1,0.15,0.0,305.34,1.3,40.0,1.68,2.3,8.29,0.0,Healthcare,Health Information Services,是,2026-05-01,44,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,4.0,Healthcare多头共振3,15.97,二级放宽(允许无催化)
