symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
JBHT260417C00180000,JBHT.US,JBHT,C,2026-04-17,30,180.0,200.12,-10.05,35.3,135,0,135.0,476550.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
EXE260417C00100000,EXE.US,EXE,C,2026-04-17,30,100.0,106.4,-6.02,10.01,122,0,122.0,122122.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
HRMY260417C00032500,HRMY.US,HRMY,C,2026-04-17,30,32.5,28.37,14.56,1.7,452,0,452.0,76840.0,12.5,True,True,100.0,100.0,0.0,100.0,yfinance
D260417P62500.US,D.US,D,P,2026-04-17,30,62.5,63.03,-0.84,1.15,330,1093,0.302,30211.0,20.8,True,True,100.0,100.0,0.0,100.0,longbridge
VTR260515C00045000,VTR.US,VTR,C,2026-05-15,58,45.0,88.0,-48.86,38.3,86,0,86.0,329380.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
EQT260327P00064000,EQT.US,EQT,P,2026-03-27,9,64.0,64.43,-0.67,1.46,2144,0,2144.0,313024.0,1.56,True,True,100.0,100.0,0.0,100.0,yfinance
CTRA260417C00022000,CTRA.US,CTRA,C,2026-04-17,30,22.0,32.99,-33.31,8.7,75,0,75.0,65250.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
TWLO260417C00095000,TWLO.US,TWLO,C,2026-04-17,30,95.0,126.88,-25.13,29.0,54,0,54.0,156600.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
CWEN260515C00035000,CWEN.US,CWEN,C,2026-05-15,58,35.0,39.98,-12.46,5.1,21,0,21.0,10710.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
KBH260417C55000.US,KBH.US,KBH,C,2026-04-17,30,55.0,54.84,0.29,2.81,85,75,1.118,23799.0,43.2,True,True,100.0,100.0,0.0,100.0,longbridge
AES260515P00020000,AES.US,AES,P,2026-05-15,58,20.0,14.2,40.85,3.6,300,0,300.0,108000.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
CLSK260417C00011000,CLSK.US,CLSK,C,2026-04-17,30,11.0,10.11,8.8,0.7,3848,0,3848.0,269360.0,6.25,True,True,100.0,100.0,0.0,100.0,yfinance
DOCU260327C00052000,DOCU.US,DOCU,C,2026-03-27,9,52.0,47.54,9.38,1.37,1740,0,1740.0,238380.0,12.5,True,True,100.0,100.0,0.0,100.0,yfinance
HOLX260417P00075000,HOLX.US,HOLX,P,2026-04-17,30,75.0,75.05,-0.07,0.65,310,0,310.0,20150.0,0.1,True,True,100.0,100.0,0.0,100.0,yfinance
ALNY260417C00350000,ALNY.US,ALNY,C,2026-04-17,30,350.0,320.42,9.23,6.0,234,0,234.0,140400.0,6.25,True,True,100.0,100.0,0.0,100.0,yfinance
NXT260515P00090000,NXT.US,NXT,P,2026-05-15,58,90.0,121.84,-26.13,3.0,2109,0,2109.0,632700.0,12.5,True,True,100.0,100.0,0.0,100.0,yfinance
CNM260417C00050000,CNM.US,CNM,C,2026-04-17,30,50.0,48.28,3.56,2.35,1031,0,1031.0,242285.0,3.13,True,True,100.0,100.0,0.0,100.0,yfinance
DHI260515P00125000,DHI.US,DHI,P,2026-05-15,58,125.0,142.14,-12.06,3.42,1276,0,1276.0,436392.0,6.25,True,True,100.0,100.0,0.0,100.0,yfinance
FRPT260515P00060000,FRPT.US,FRPT,P,2026-05-15,58,60.0,67.42,-11.01,4.3,287,0,287.0,123410.0,6.25,True,True,100.0,100.0,0.0,100.0,yfinance
VAL260515C00050000,VAL.US,VAL,C,2026-05-15,58,50.0,97.28,-48.6,42.0,125,0,125.0,525000.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
