,symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
1,TSM260320C00220000,TSM.US,台积电,C,2026-03-20,2,220.0,345.98,-36.41,121.75,51002,0,51002.0,620949350.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
2,QCOM260417P00195000,QCOM.US,高通,P,2026-04-17,30,195.0,131.59,48.19,57.45,6438,0,6438.0,36986310.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
3,MSFT260320P00450000,MSFT.US,微软,P,2026-03-20,2,450.0,399.41,12.67,50.51,24005,0,24005.0,121249255.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
4,ORCL260320P00230000,ORCL.US,甲骨文,P,2026-03-20,2,230.0,154.69,48.68,75.35,36604,0,36604.0,275811140.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
5,META260320P00700000,META.US,Meta,P,2026-03-20,2,700.0,622.66,12.42,77.55,33232,0,33232.0,257714160.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
6,QQQ260320P00630000,QQQ.US,QQQ,P,2026-03-20,2,630.0,603.31,4.42,27.07,56043,0,56043.0,151708401.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
7,MU260320C00450000,MU.US,美光科技,C,2026-03-20,2,450.0,461.69,-2.53,26.63,11230,0,11230.0,29905490.0,0.0,True,True,100.0,99.52,0.0,99.78,yfinance
8,QQQ260320P00625000,QQQ.US,QQQ,P,2026-03-20,2,625.0,603.31,3.6,22.18,46387,0,46387.0,102886366.0,0.0,True,True,99.63,99.75,0.0,99.68,yfinance
9,SPY260320P00670000,SPY.US,SPY,P,2026-03-20,2,670.0,670.79,-0.12,5.3,45077,0,45077.0,23890810.0,0.39,True,True,99.11,99.8,0.0,99.42,yfinance
10,QQQ260320P00600000,QQQ.US,QQQ,P,2026-03-20,2,600.0,603.31,-0.55,3.49,37326,0,37326.0,13026774.0,1.56,True,True,99.26,99.51,0.0,99.37,yfinance
11,META260320P00690000,META.US,Meta,P,2026-03-20,2,690.0,622.66,10.81,67.55,8239,0,8239.0,55654445.0,0.0,True,True,99.35,99.14,0.0,99.26,yfinance
12,SPY260320P00660000,SPY.US,SPY,P,2026-03-20,2,660.0,670.79,-1.61,2.22,84067,0,84067.0,18662874.0,3.13,True,True,98.51,100.0,0.0,99.18,yfinance
13,TSM260320C00195000,TSM.US,台积电,C,2026-03-20,2,195.0,345.98,-43.64,144.2,27720,0,27720.0,399722400.0,0.0,True,True,98.61,99.07,0.0,98.82,yfinance
14,MSFT260320P00460000,MSFT.US,微软,P,2026-03-20,2,460.0,399.41,15.17,60.9,17672,0,17672.0,107622480.0,0.0,True,True,98.9,98.53,0.0,98.73,yfinance
15,SPY260417P00640000,SPY.US,SPY,P,2026-04-17,30,640.0,670.79,-4.59,6.35,26452,0,26452.0,16797020.0,3.13,True,True,98.21,99.21,0.0,98.66,yfinance
16,QQQ260417P00590000,QQQ.US,QQQ,P,2026-04-17,30,590.0,603.31,-2.21,10.13,10687,0,10687.0,10825931.0,1.56,True,True,98.89,98.02,0.0,98.5,yfinance
17,MU260320C00460000,MU.US,美光科技,C,2026-03-20,2,460.0,461.69,-0.37,21.2,7028,0,7028.0,14899360.0,0.0,True,True,99.28,97.13,0.0,98.31,yfinance
18,QQQ260320P00610000,QQQ.US,QQQ,P,2026-03-20,2,610.0,603.31,1.11,8.03,11793,0,11793.0,9469779.0,0.0,True,True,98.15,98.27,0.0,98.2,yfinance
19,AAPL260320P275000.US,AAPL.US,苹果,P,2026-03-20,2,275.0,254.23,8.17,21.2,24025,2313,10.382,50493174.0,58.9,True,True,100.0,96.0,0.0,98.2,longbridge
20,MU260320C00500000,MU.US,美光科技,C,2026-03-20,2,500.0,461.69,8.3,7.05,16269,0,16269.0,11469645.0,25.0,True,True,96.4,100.0,0.0,98.02,yfinance
21,NVDA260410C00190000,NVDA.US,英伟达,C,2026-04-10,23,190.0,181.93,4.44,3.29,59699,0,59699.0,19640971.0,3.13,True,True,97.62,98.41,0.0,97.98,yfinance
22,QCOM260320P00170000,QCOM.US,高通,P,2026-03-20,2,170.0,131.59,29.19,38.12,5810,0,5810.0,22147720.0,0.0,True,True,97.22,98.11,0.0,97.62,yfinance
23,META260320P00710000,META.US,Meta,P,2026-03-20,2,710.0,622.66,14.03,87.65,4492,0,4492.0,39372380.0,0.0,True,True,98.06,97.0,0.0,97.58,yfinance
24,SPY260320P00672000,SPY.US,SPY,P,2026-03-20,2,672.0,670.79,0.18,6.21,18941,0,18941.0,11762361.0,0.0,True,True,97.32,97.62,0.0,97.46,yfinance
25,NVDA260320C00185000,NVDA.US,英伟达,C,2026-03-20,2,185.0,181.93,1.69,1.27,101707,0,101707.0,12916789.0,6.25,True,True,95.24,100.0,0.0,97.38,yfinance
26,MU260320C00455000,MU.US,美光科技,C,2026-03-20,2,455.0,461.69,-1.45,23.57,5798,0,5798.0,13665886.0,0.0,True,True,97.84,96.65,0.0,97.3,yfinance
27,TSM260320C00165000,TSM.US,台积电,C,2026-03-20,2,165.0,345.98,-52.31,175.55,12740,0,12740.0,223650700.0,0.0,True,True,97.22,97.22,0.0,97.22,yfinance
28,TSLA260320P500000.US,TSLA.US,特斯拉,P,2026-03-20,2,500.0,399.27,25.23,101.12,37790,3366,11.224,384097690.0,125.3,True,True,100.0,93.83,0.0,97.22,longbridge
29,ORCL260320P00250000,ORCL.US,甲骨文,P,2026-03-20,2,250.0,154.69,61.61,96.15,12205,0,12205.0,117351075.0,0.0,True,True,98.31,95.45,0.0,97.02,yfinance
30,AMD260320C00200000,AMD.US,AMD,C,2026-03-20,2,200.0,196.31,1.88,2.38,24189,0,24189.0,5756982.0,6.25,True,True,94.52,100.0,0.0,96.99,yfinance
31,QQQ260320C00605000,QQQ.US,QQQ,C,2026-03-20,2,605.0,603.31,0.28,4.42,14226,0,14226.0,6287892.0,0.78,True,True,95.56,98.52,0.0,96.89,yfinance
32,AVGO260320C00330000,AVGO.US,博通,C,2026-03-20,2,330.0,321.31,2.7,2.18,17641,0,17641.0,3845738.0,6.25,True,True,94.25,100.0,0.0,96.84,yfinance
33,MSFT260320P00480000,MSFT.US,微软,P,2026-03-20,2,480.0,399.41,20.18,80.86,13283,0,13283.0,107406338.0,0.0,True,True,97.8,95.59,0.0,96.81,yfinance
34,META260320P00750000,META.US,Meta,P,2026-03-20,2,750.0,622.66,20.45,127.42,4002,0,4002.0,50993484.0,0.0,True,True,98.71,94.42,0.0,96.78,yfinance
35,SPY260515P00640000,SPY.US,SPY,P,2026-05-15,58,640.0,670.79,-4.59,10.75,11897,0,11897.0,12789275.0,3.13,True,True,97.62,95.44,0.0,96.64,yfinance
36,ORCL260320P00220000,ORCL.US,甲骨文,P,2026-03-20,2,220.0,154.69,42.22,66.23,12560,0,12560.0,83184880.0,0.0,True,True,96.61,96.59,0.0,96.6,yfinance
37,META260320P00695000,META.US,Meta,P,2026-03-20,2,695.0,622.66,11.62,72.06,4430,0,4430.0,31922580.0,0.0,True,True,96.77,96.14,0.0,96.49,yfinance
38,SPY260320C00670000,SPY.US,SPY,C,2026-03-20,2,670.0,670.79,-0.12,5.19,19323,0,19323.0,10028637.0,0.0,True,True,95.24,98.02,0.0,96.49,yfinance
39,AMD260320P00250000,AMD.US,AMD,P,2026-03-20,2,250.0,196.31,27.35,53.65,7055,0,7055.0,37850075.0,0.0,True,True,100.0,91.74,0.0,96.28,yfinance
40,TSM260320C00260000,TSM.US,台积电,C,2026-03-20,2,260.0,345.98,-24.85,82.5,18420,0,18420.0,151965000.0,0.0,True,True,94.44,98.15,0.0,96.11,yfinance
41,MSFT260320P00465000,MSFT.US,微软,P,2026-03-20,2,465.0,399.41,16.42,65.63,14112,0,14112.0,92617056.0,0.0,True,True,95.6,96.32,0.0,95.92,yfinance
42,TSM260320C00170000,TSM.US,台积电,C,2026-03-20,2,170.0,345.98,-50.86,172.5,8868,0,8868.0,152973000.0,0.0,True,True,95.83,95.37,0.0,95.62,yfinance
43,MSFT260320P00475000,MSFT.US,微软,P,2026-03-20,2,475.0,399.41,18.93,75.9,12320,0,12320.0,93508800.0,0.0,True,True,96.7,94.12,0.0,95.54,yfinance
