,标的,名称,异动合约数,大单异动数,成交量异动数,看涨强度,看跌强度,净强度,方向判断,最高分合约
1,TSM.US,台积电,6,6,6,581.52,0.0,581.52,偏多,TSM260320C00220000
2,NVDA.US,英伟达,6,6,6,419.47,73.31,346.16,偏多,NVDA260410C00190000
3,AMD.US,AMD,6,6,6,282.09,281.92,0.17,中性,AMD260320C00200000
4,QQQ.US,QQQ,6,6,6,150.8,310.4,-159.6,偏空,QQQ260319P604000.US
5,TSLA.US,特斯拉,6,6,6,177.7,355.55,-177.85,偏空,TSLA260320P500000.US
6,AAPL.US,苹果,6,6,6,179.87,379.04,-199.17,偏空,AAPL260320P00275000
7,MU.US,美光科技,6,6,6,89.23,462.87,-373.64,偏空,MU260320P00455000
8,SPY.US,SPY,6,6,6,96.49,491.36,-394.87,偏空,SPY260320P00670000
9,QCOM.US,高通,6,6,6,0.0,541.33,-541.33,偏空,QCOM260417P00195000
10,AVGO.US,博通,6,6,6,0.0,553.53,-553.53,偏空,AVGO260320P00390000
11,ORCL.US,甲骨文,6,6,6,0.0,562.16,-562.16,偏空,ORCL260320P00230000
12,MSFT.US,微软,6,6,6,0.0,582.05,-582.05,偏空,MSFT260320P00450000
13,META.US,Meta,6,6,6,0.0,584.66,-584.66,偏空,META260320P00700000
