,ticker,price,chg_pct,avg_vol_m,nearest_support,dist_to_sup_%,expiry,dte,call_oi,call_volume,vol/oi,top_strike,score
1,NVDA,183.22,1.65,176.58,182.8,0.23,2026-03-25,8,6553,14963,2.283,195.0,135.29
2,TSLA,395.56,1.11,63.19,392.43,0.8,2026-03-27,10,46354,45084,0.973,435.0,115.27
3,QQQ,600.38,1.12,60.95,597.03,0.56,2026-04-17,31,374423,75711,0.202,640.0,92.48
4,TQQQ,47.46,3.33,95.05,47.64,0.38,2026-03-27,10,30851,23894,0.774,50.0,87.22
5,IWM,248.92,0.94,40.77,246.16,1.12,2026-05-01,45,788,1284,1.627,260.0,85.32
6,AMD,196.58,1.65,36.4,196.6,0.01,2026-03-27,10,20366,16934,0.831,225.0,84.15
7,SOFI,17.63,-0.73,57.73,17.76,0.73,2026-03-27,10,46042,26795,0.582,20.0,81.98
8,MSFT,399.95,1.11,34.06,392.77,1.83,2026-03-25,8,1812,2219,1.224,400.0,63.24
9,XLK,138.78,1.45,18.62,138.52,0.19,2026-04-10,24,1243,970,0.78,139.0,60.52
10,JD,28.49,0.6,9.99,28.38,0.39,2026-04-17,31,43934,8982,0.204,30.0,52.03
11,LCID,9.89,-0.1,7.44,9.73,1.64,2026-04-10,24,715,614,0.858,11.0,48.68
12,AVGO,324.92,0.86,29.35,320.05,1.52,2026-03-27,10,19646,9753,0.496,345.0,48.32
13,TLT,87.21,0.77,39.53,86.03,1.37,2026-03-27,10,69226,13946,0.201,90.5,48.29
14,PDD,103.84,1.16,8.01,104.46,0.59,2026-04-02,16,6081,1676,0.276,114.0,38.03
15,RIVN,15.33,3.16,32.23,14.92,2.75,2026-04-02,16,6573,2563,0.39,17.0,21.98
16,ARKK,72.05,2.56,8.8,70.0,2.93,2026-03-27,10,4817,2070,0.43,76.0,20.93
