,ticker,price,chg_pct,avg_vol_m,nearest_support,dist_to_sup_%,expiry,dte,call_oi,call_volume,vol/oi,top_strike,otm_call_%,put/call,score
1,NVDA,183.22,1.65,176.58,182.8,0.23,2026-04-02,16,110426,45310,0.41,200.0,80.3,0.681,111.55
2,TSLA,395.56,1.11,63.19,392.43,0.8,2026-04-17,31,77438,24732,0.319,450.0,89.9,1.207,99.12
3,QQQ,600.38,1.12,60.95,597.03,0.56,2026-04-17,31,374423,75711,0.202,640.0,88.9,1.134,94.3
4,SOFI,17.63,-0.73,57.73,17.76,0.73,2026-04-17,31,47908,15924,0.332,20.0,86.2,1.482,91.71
5,AMD,196.58,1.65,36.4,196.6,0.01,2026-04-02,16,11330,6743,0.595,225.0,80.6,0.919,90.32
6,TQQQ,47.46,3.33,95.05,47.64,0.38,2026-04-17,31,17819,7676,0.431,50.0,77.9,0.92,83.79
7,MSFT,399.95,1.11,34.06,392.77,1.83,2026-04-02,16,15707,7241,0.461,415.0,87.1,0.715,74.11
8,AVGO,324.92,0.86,29.35,320.05,1.52,2026-04-24,38,2989,1884,0.63,350.0,86.1,0.545,70.34
9,JD,28.49,0.6,9.99,28.38,0.39,2026-04-17,31,43934,8982,0.204,30.0,67.7,1.391,69.84
10,XLK,138.78,1.45,18.62,138.52,0.19,2026-04-10,24,1243,970,0.78,139.0,48.9,2.027,69.82
11,TLT,87.21,0.77,39.53,86.03,1.37,2026-05-01,45,1374,949,0.69,93.5,80.6,1.767,64.32
12,PDD,103.84,1.16,8.01,104.46,0.59,2026-04-02,16,6081,1676,0.276,114.0,88.7,1.333,61.75
13,RIVN,15.33,3.16,32.23,14.92,2.75,2026-04-02,16,6573,2563,0.39,17.0,63.1,0.444,49.21
14,ARKK,72.05,2.56,8.8,70.0,2.93,2026-04-10,24,2322,631,0.272,66.0,79.8,1.108,34.24
