,ticker,price,chg_%,avg_vol_m,support,dist_%,mom_5d_%,vol_trend,above_ma20,expiry,dte,strike,otm_%,mid_price,iv_%,strike_oi,strike_vol,vol/oi,oi_ratio,put/call,score
1,QQQ,600.38,1.12,60.95,597.03,0.56,-1.21,0.86,False,2026-04-17,31,630.0,4.9,3.12,17.9,23510,13762,0.585,9.7,1.31,111.85
2,JD,28.49,0.6,9.99,28.38,0.39,3.71,0.97,True,2026-04-17,31,30.0,5.3,0.52,34.3,7902,6356,0.804,3.6,1.09,110.1
3,NVDA,183.22,1.65,176.58,182.8,0.23,0.32,0.88,False,2026-04-17,31,200.0,9.2,2.42,36.5,59131,17541,0.297,7.2,0.85,109.58
4,IWM,248.92,0.94,40.77,246.16,1.12,-1.85,1.14,False,2026-04-17,31,260.0,4.5,3.12,24.7,16845,6005,0.356,5.2,2.1,98.23
5,TSLA,395.56,1.11,63.19,392.43,0.8,-0.78,1.02,False,2026-04-17,31,450.0,13.8,3.77,41.1,10413,4970,0.477,6.0,0.66,98.02
6,AMD,196.58,1.65,36.4,196.6,0.01,-3.01,0.78,False,2026-04-02,16,215.0,9.4,2.66,51.0,751,3691,4.908,2.6,1.15,83.72
7,TLT,87.21,0.77,39.53,86.03,1.37,-2.26,1.09,False,2026-04-17,31,88.0,0.9,0.89,12.1,8760,5322,0.607,1.1,0.62,78.63
8,PDD,103.84,1.16,8.01,104.46,0.59,1.17,0.9,True,2026-04-02,16,113.0,8.8,1.73,54.0,1338,404,0.302,6.4,1.39,71.86
9,MSFT,399.95,1.11,34.06,392.77,1.83,-2.31,0.83,False,2026-04-17,31,420.0,5.0,4.83,25.7,10746,3110,0.289,3.2,0.43,71.8
10,XLK,138.78,1.45,18.62,138.52,0.19,-0.7,1.07,False,2026-04-17,31,150.0,8.1,0.73,25.4,1805,79,0.044,5.8,1.6,65.08
11,LCID,9.89,-0.1,7.44,9.73,1.64,-4.9,0.95,False,2026-04-10,24,11.0,11.2,0.63,101.0,405,417,1.027,3.1,0.17,59.86
12,RIVN,15.33,3.16,32.23,14.92,2.75,-3.4,1.17,False,2026-04-02,16,17.0,10.9,0.3,64.3,1799,658,0.366,4.9,0.38,54.03
13,XPEV,20.09,0.6,6.96,19.88,1.06,8.89,1.34,True,2026-04-17,31,22.0,9.5,0.83,64.8,4094,134,0.033,2.3,0.55,52.04
14,ARKK,72.05,2.56,8.8,70.0,2.93,-3.02,0.94,False,2026-04-17,31,76.0,5.5,2.12,44.8,493,393,0.796,0.8,2.77,45.36
