,代码,股价,当日涨跌%,最近支撑位,距支撑%,5日动量%,量能趋势,在均线上方,52周位置%,到期日,剩余天数,行权价,虚值幅度%,期权参考价,隐含波动率%,行权价OI,行权价成交量,量OI比,OI集中倍数,认沽认购比,综合评分,信号解读
1,TLT,87.51,0.35,86.03,1.72,-0.87,0.94,False,32.9,2026-04-17,31,92.0,5.1,0.12,12.4,72395,27815,0.384,8.6,0.61,100.55,股价距支撑位1.72%，均线下方⚠️，OI集中(9倍)；当日成交活跃，关注 92.0C 2026-04-17，参考价约$0.12。
2,NVDA,182.47,-0.41,182.8,0.18,-1.24,0.82,False,44.7,2026-04-17,31,200.0,9.6,1.71,32.9,61549,12667,0.206,7.3,0.84,99.97,股价紧贴支撑位(182.8)，均线下方⚠️，OI集中(7倍)，关注 200.0C 2026-04-17，参考价约$1.71。
3,QQQ,603.92,0.59,597.03,1.15,-0.63,0.79,False,25.8,2026-05-15,59,660.0,9.3,1.56,15.9,9028,5453,0.604,7.5,1.55,92.88,股价距支撑位1.15%，均线下方⚠️，处于52周低位区间，OI集中(8倍)；当日成交极活跃；看涨情绪弱⚠️，关注 660.0C 2026-05-15，参考价约$1.56。
4,SPY,671.88,0.43,677.58,0.84,-0.78,0.94,False,28.9,2026-04-17,31,700.0,4.2,2.11,13.4,28026,4420,0.158,14.3,4.48,84.38,股价距支撑位0.84%，均线下方⚠️，处于52周低位区间，OI高度集中(14倍异常)；看涨情绪弱⚠️，关注 700.0C 2026-04-17，参考价约$2.11。
5,SOFI,17.66,0.14,17.76,0.59,-3.47,0.85,False,0.2,2026-04-17,31,20.0,13.3,0.45,58.2,19645,3961,0.202,4.3,1.05,75.92,股价距支撑位0.59%，均线下方⚠️，近5日下跌3.47%⚠️，处于52周低位区间，OI集中(4倍)；看涨情绪弱⚠️，关注 20.0C 2026-04-17，参考价约$0.45。
6,IWM,250.04,0.45,246.16,1.58,-1.31,1.02,False,16.4,2026-03-31,14,265.0,6.0,0.35,20.2,8137,2738,0.336,8.5,2.91,72.51,股价距支撑位1.58%，均线下方⚠️，处于52周低位区间，OI集中(8倍)；当日成交活跃；看涨情绪弱⚠️，关注 265.0C 2026-03-31，参考价约$0.35。
7,TSLA,398.33,0.7,392.43,1.5,-0.23,0.94,False,7.3,2026-05-01,45,450.0,13.0,7.9,43.5,548,321,0.585,10.5,1.5,69.81,股价距支撑位1.5%，均线下方⚠️，处于52周低位区间，OI高度集中(10倍异常)；当日成交极活跃；看涨情绪弱⚠️，关注 450.0C 2026-05-01，参考价约$7.90。
8,AMD,196.15,-0.22,196.6,0.23,-3.48,0.72,False,7.6,2026-04-24,38,200.0,2.0,11.15,50.3,351,401,1.139,2.8,1.82,69.49,股价紧贴支撑位(196.6)，均线下方⚠️，近5日下跌3.48%⚠️，处于52周低位区间，当日成交极活跃；看涨情绪弱⚠️，关注 200.0C 2026-04-24，参考价约$11.15。
9,PDD,105.28,1.39,104.46,0.78,0.4,0.76,True,22.5,2026-04-02,16,113.0,7.3,2.08,53.5,1010,404,0.4,4.7,1.35,66.89,股价距支撑位0.78%，均线上方，处于52周低位区间，OI集中(5倍)；当日成交活跃；看涨情绪弱⚠️，关注 113.0C 2026-04-02，参考价约$2.08。
10,MSFT,399.99,0.01,392.77,1.84,-1.42,0.73,False,15.1,2026-04-02,16,415.0,3.8,2.5,22.4,2417,1135,0.469,7.5,0.7,64.65,股价距支撑位1.84%，均线下方⚠️，处于52周低位区间，OI集中(8倍)；当日成交活跃，关注 415.0C 2026-04-02，参考价约$2.50。
11,XLK,139.54,0.55,138.52,0.74,-0.16,0.94,False,28.7,2026-04-10,24,140.0,0.3,3.33,27.6,308,183,0.592,4.8,1.26,64.11,股价距支撑位0.74%，均线下方⚠️，处于52周低位区间，OI集中(5倍)；当日成交极活跃；看涨情绪弱⚠️，关注 140.0C 2026-04-10，参考价约$3.33。
12,ARM,126.6,4.03,123.78,2.28,5.02,0.87,True,81.1,2026-04-17,31,135.0,6.6,4.67,53.1,680,568,0.834,1.1,1.63,56.83,股价距支撑位2.28%，均线上方，近5日上涨5.02%，当日成交极活跃；看涨情绪弱⚠️，关注 135.0C 2026-04-17，参考价约$4.67。
13,JD,28.59,0.35,28.38,0.74,3.1,0.84,True,59.7,2026-04-17,31,30.0,4.9,0.44,30.0,13535,148,0.011,5.7,0.99,52.22,股价距支撑位0.74%，均线上方，近5日上涨3.1%，OI集中(6倍)，关注 30.0C 2026-04-17，参考价约$0.44。
14,ABNB,132.73,3.43,130.66,1.58,0.22,0.59,True,69.5,2026-04-17,31,135.0,1.7,4.25,34.2,5804,63,0.011,7.0,0.6,46.63,股价距支撑位1.58%，均线上方，OI集中(7倍)，关注 135.0C 2026-04-17，参考价约$4.25。
